SLNO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
118,563.0,0.460035523979,0.261101243339,1,1,49,1493.17675781,74.322455074,51,11,3,http://aishe.nic.in
119,270.0,0.0,0.103703703704,4,144,12,514.125976562,98.1947517879,10,13,5,http://aizawl.nic.in
120,284.0,0.25,0.12323943662,0,23,37,646.615234375,92.7274539595,14,7,4,http://ajmer.rajasthan.gov.in
121,426.0,0.152582159624,0.43896713615,0,5,59,512.47265625,61.8396179674,30,8,19,http://akola.gov.in
122,89.0,0.179775280899,0.213483146067,0,52,11,13844.4736328,99.5495156468,128,8,1,http://akolapolice.gov.in
123,229.0,0.0,0.0393013100437,0,162,51,771.90234375,98.3488692202,56,15,0,http://akolazp.gov.in
124,0.0,0.0,0.0393013100437,0,0,0,0.0,0.0,0,1,0,http://akshayaposhan.gov.in
125,308.0,0.11038961039,0.0681818181818,1,11,53,1952.35742188,82.0497955697,41,11,0,http://alberthalljaipur.gov.in
126,496.0,0.0141129032258,0.870967741935,2,44,83,7985.95605469,99.5260723201,103,10,64,http://aligarh.nic.in
127,4.0,0.75,0.25,0,0,0,0.5546875,0.0,0,1,0,http://aligarhnagarnigam.in
128,177.0,0.180790960452,0.282485875706,0,5,40,36202.5917969,99.5785328517,91,8,1,http://alipurduar.gov.in
129,1502.0,0.0426098535286,0.0645805592543,0,17,21,372.66015625,67.5537992264,19,14,26,http://allahabad.gov.in
130,450.0,0.135555555556,0.528888888889,0,11,89,600.450195312,63.5976261301,52,15,27,http://allahabad.nic.in
131,972.0,0.0133744855967,0.184156378601,7,67,89,14016.5234375,98.4739411911,64,20,13,http://allahabadmc.gov.in
132,0.0,0.0,0.184156378601,0,0,0,0.0,0.0,0,1,0,http://almora.gov.in
133,0.0,0.0,0.184156378601,0,0,0,0.0,0.0,0,1,0,http://alpha.tn.nic.in
134,368.0,0.0461956521739,0.290760869565,2,45,32,1322.82617188,96.8442477118,17,6,11,http://alwar.rajasthan.gov.in
135,698.0,0.0,0.174785100287,0,45,138,4.228515625,0.0,0,5,0,http://alwarpolice.rajasthan.gov.in
136,250.0,0.236,0.28,0,45,36,1768.52929688,99.0582415871,12,12,0,http://am.bsf.gov.in
137,285.0,0.126315789474,0.477192982456,0,7,68,613.345703125,66.6702225562,29,13,13,http://ambala.gov.in
138,16.0,0.6875,0.0,0,26,2,250.278320312,96.6467019139,21,8,1,http://ambala.haryanapolice.gov.in
139,482.0,0.711618257261,0.107883817427,0,8,26,6849.30566406,96.369214546,24,13,3,http://ambedkarfoundation.nic.in
140,802.0,0.0349127182045,0.114713216958,2,27,95,1173.28515625,79.6237693975,46,9,2,http://ambedkarnagar.nic.in
141,360.0,0.0,0.15,22,85,49,331.81640625,86.9536170463,18,14,0,http://amc.gov.in
142,875.0,0.024,2.296,1,46,78,1164.74609375,96.1763226293,17,13,175,http://amethi.nic.in
143,111.0,0.018018018018,0.0900900900901,0,38,20,70.4111328125,88.9696398108,6,7,0,http://amlarem.gov.in
144,428.0,0.0373831775701,0.327102803738,0,17,66,528.84375,62.7688648585,33,8,21,http://amravati.gov.in
145,114.0,0.0,0.0614035087719,0,13,26,140.1328125,90.2505993198,13,9,1,http://amravatidivision.gov.in
146,233.0,0.00858369098712,0.145922746781,0,7,39,919.303710938,74.055602119,13,8,0,http://amravatiruralpolice.gov.in
147,470.0,0.106382978723,0.202127659574,3,25,114,879.060546875,87.8697961913,30,5,0,http://amreli.gujarat.gov.in
148,100.0,0.17,0.07,0,8,0,559.875,71.7966831324,11,4,0,http://amritsar.gov.in
149,267.0,0.0,0.415730337079,0,92,26,248.1484375,97.2633252527,66,16,0,http://amritsarcitypolice.gov.in
150,588.0,0.0340136054422,0.159863945578,0,192,24,57.1962890625,40.4599702915,40,3,4,http://amritsarcustoms.gov.in
151,312.0,0.0,0.0897435897436,2,200,37,892.629882812,97.7687289468,68,18,0,http://amritsartrafficpolice.gov.in
152,419.0,0.0214797136038,0.391408114558,1,9,16,1018.03125,61.2969848359,10,18,2,http://amrut.gov.in
153,79.0,0.291139240506,1.30379746835,0,1,9,1794.87207031,73.4370213755,4,20,13,http://amssdelhi.gov.in
154,655.0,0.0946564885496,0.196946564885,3,43,96,937.490234375,88.2027937791,30,5,0,http://anand.gujarat.gov.in
155,541.0,0.73752310536,0.295748613678,1,164,48,2083.45117188,92.6861324406,123,7,6,http://anantapur.gov.in
156,603.0,0.00663349917081,0.271973466003,1,148,47,1860.77832031,90.9740390262,67,7,31,http://anantnag.gov.in
157,502.0,0.0737051792829,0.195219123506,6,21,84,5384.33886719,98.4061486193,26,10,0,http://andcollege.du.ac.in
158,12.0,0.166666666667,0.0833333333333,0,1,0,0.392578125,0.0,0,1,0,http://andssw1.and.nic.in/dit
159,276.0,0.0,0.416666666667,0,13,46,314.126953125,92.7558399085,11,15,7,http://andssw1.and.nic.in/dsc
160,178.0,0.0,0.11797752809,0,0,17,99.6123046875,78.4839661579,11,9,1,http://andssw1.and.nic.in/ilran
161,12.0,0.166666666667,0.0833333333333,0,1,0,0.3994140625,0.0,0,1,0,http://andssw1.and.nic.in/nmdistrict
162,377.0,0.0,0.355437665782,1,146,60,88.3740234375,60.6807005912,8,12,5,http://andssw1.and.nic.in/onlineportal
163,628.0,0.0382165605096,0.261146496815,0,24,56,3387.03613281,96.0270735874,35,16,1,http://anert.gov.in
164,485.0,0.0989690721649,0.490721649485,0,11,90,852.044921875,55.1116683897,29,13,9,http://angul.nic.in
165,285.0,0.221052631579,0.119298245614,0,7,53,1770.8828125,79.0927349089,57,12,11,http://angulpolice.nic.in
166,126.0,0.126984126984,0.15873015873,2,31,14,3646.80078125,91.89815881,23,9,24,http://aniidco.and.nic.in
167,316.0,0.0,0.104430379747,2,32,50,4596.71191406,98.8621069791,25,10,2,http://animalhusb.up.nic.in
168,163.0,0.0368098159509,0.0981595092025,1,151,33,1968.53613281,97.4649031814,27,11,1,http://animalhusbandry.rajasthan.gov.in
169,261.0,0.0,0.0153256704981,0,57,13,205.764648438,91.8748190581,16,8,0,http://animalhusbandryjammu.nic.in
170,1722.0,0.369337979094,0.132404181185,0,50,50,1268.33105469,82.286099705,14,17,8,http://annamalaiuniversity.ac.in
171,0.0,0.0,0.132404181185,0,6,0,221.575195312,98.2511580348,7,14,0,http://annavaramdevasthanam.nic.in
172,263.0,0.0570342205323,0.0874524714829,1,29,58,256.913085938,72.223932735,47,13,0,http://anuppur.nic.in
173,760.0,0.00394736842105,0.156578947368,6,278,53,2111.19335938,98.463777984,34,5,0,http://ap.meeseva.gov.in
174,13.0,0.230769230769,0.0,0,0,0,0.3681640625,0.0,0,1,0,http://apapparelpark.gov.in
175,695.0,0.0978417266187,0.185611510791,1,25,26,1983.77148438,96.5757302172,19,13,0,http://apbiodiversity.ap.nic.in
176,179.0,0.072625698324,0.145251396648,5,5,14,775.924804688,81.7844633483,6,13,1,http://apct.gov.in
177,2.0,1.0,0.0,0,1,1,1304.71191406,81.0144271252,1,2,0,http://apcustoms.gov.in
178,631.0,0.0,0.418383518225,2,76,66,257.587890625,81.1771619214,22,16,27,http://apdhte.nic.in
179,4001.0,0.0772306923269,0.110972256936,0,68,44,4508.80761719,89.0371254699,113,13,0,http://apedb.gov.in
180,252.0,0.0396825396825,0.0357142857143,0,4,18,403.703125,95.9145314859,9,17,0,http://apfbcs.nic.in
181,0.0,0.0,0.0357142857143,0,0,0,0.0,0.0,0,1,0,http://apfdc.gov.in
182,0.0,0.0,0.0357142857143,0,0,0,0.0,0.0,0,1,0,http://apfisheries.gov.in
183,161.0,0.0,0.391304347826,1,37,0,367.375976562,97.5929908318,36,14,4,http://apfoods.ap.nic.in
184,1759.0,0.0,0.194997157476,2,19,52,3152.98535156,95.3791622957,103,13,112,http://apgenco.gov.in
185,212.0,0.0,0.0896226415094,1,16,18,68769.1875,1.28495388105,10,12,0,http://aphandtex.gov.in
186,6.0,0.0,0.0,0,0,0,0.546875,0.0,0,1,0,http://aphe.gov.in
187,477.0,0.0,0.117400419287,0,5,19,700.219726562,98.4229280708,11,10,2,http://aphwcl.nic.in
188,0.0,0.0,0.117400419287,0,0,0,230.145507812,96.025781923,3,6,0,http://apidc.gov.in
189,0.0,0.0,0.117400419287,0,0,0,0.0,0.0,0,1,0,http://apit.ap.gov.in
190,199.0,0.00502512562814,0.110552763819,2,1,27,11465.8603516,4.7764163331,46,14,2,http://aplm.gov.in
191,43.0,0.0,0.0232558139535,1,3,9,911.779296875,92.4165276085,11,19,2,http://apnakhata.raj.nic.in
192,0.0,0.0,0.0232558139535,0,0,0,0.0,0.0,0,1,0,http://app.westbengaltourism.gov.in
193,384.0,0.03125,0.177083333333,1,17,23,620.788085938,76.095153747,18,12,0,http://appharmacycouncil.gov.in
194,0.0,0.0,0.177083333333,0,0,0,0.0,0.0,0,1,0,http://appost.aponline.gov.in/PostalWebPortal/Helpdocs.aspx?SC=AP
195,0.0,0.0,0.177083333333,0,0,0,0.0,0.0,0,1,0,http://appost.aponline.gov.in/PostalWebPortal/HomePage_TG.aspx
196,515.0,0.00194174757282,0.458252427184,0,183,86,200.446289062,57.4669804197,34,8,29,http://appsc.gov.in
197,86.0,0.127906976744,0.53488372093,1,1,18,349.584960938,87.4695160277,9,12,5,http://apresidential.cgg.gov.in/indexedu3.aspx
198,212.0,0.0,0.919811320755,1,31,39,581.696289062,85.7646262866,22,8,40,http://apsac.ap.gov.in
199,1068.0,0.0355805243446,0.159176029963,1,51,56,187.579101562,89.4893300222,34,10,6,http://apsc.nic.in
200,103.0,0.0388349514563,0.106796116505,0,3,27,808.120117188,96.0108275983,12,13,0,http://apscert.gov.in
201,1388.0,0.0331412103746,0.340778097983,13,460,67,2052.55273438,95.7193643205,25,9,8,http://apscsc.gov.in
202,0.0,0.0,0.340778097983,0,0,0,0.0,0.0,0,1,0,http://apseeds.ap.nic.in
203,274.0,0.0,0.0766423357664,0,20,14,1252.78125,96.4095512485,56,12,4,http://apslma.ap.gov.in
204,54.0,0.0,0.0185185185185,1,0,1,73.41796875,92.7879755254,0,4,0,http://apspcb.org.in
205,61.0,0.0819672131148,0.0491803278689,1,1,3,21.755859375,0.0,2,4,1,http://apstatepolice.org
206,221.0,0.221719457014,0.361990950226,9,36,16,110.28515625,91.3868522651,17,13,8,http://apswreis.cgg.gov.in
207,219.0,0.196347031963,1.43835616438,0,40,30,1249.14941406,97.049867527,46,9,25,http://aptel.gov.in
208,225.0,0.888888888889,0.368888888889,0,59,65,31.05859375,55.2320462835,4,6,8,http://apvc.ap.nic.in
209,28.0,0.0357142857143,0.0357142857143,0,2,0,0.5703125,0.0,0,1,0,http://apvcc.ap.nic.in
210,300.0,0.0,0.253333333333,0,11,31,448.184570312,98.2002043836,47,16,0,http://apwd.and.nic.in
211,213.0,0.0,0.206572769953,1,57,26,502.52734375,98.2271253896,58,18,0,http://apwsipnsp.gov.in
212,240.0,0.0,0.254166666667,0,181,41,205.532226562,77.2717553988,90,20,4,http://ar.delhigovt.nic.in
213,69.0,0.0,0.0,1,14,3,54.4609375,97.364079759,2,4,0,http://aranya.gov.in
214,11.0,0.181818181818,0.181818181818,0,1,0,0.48046875,0.0,0,1,0,http://arc.gov.in
215,203.0,0.0394088669951,0.0591133004926,1,1,0,114.875976562,93.5910841346,0,2,0,http://archaeology.kerala.gov.in
216,243.0,0.0,0.0781893004115,0,141,25,268.1875,69.8329352132,44,11,0,http://archaeology.up.nic.in
217,794.0,0.0302267002519,0.0994962216625,0,18,55,4572.67285156,97.2108421783,80,12,1,http://archaeologyharyana.nic.in
218,257.0,1.27237354086,0.136186770428,1,253,49,2455.94335938,98.5393771328,37,12,0,http://architecturehry.gov.in
219,0.0,0.0,0.136186770428,0,0,0,0.0,0.0,0,1,0,http://archivesmanipur.nic.in
220,263.0,0.041825095057,0.178707224335,1,9,41,639.868164062,98.8788584074,39,18,0,http://ardd.tripura.gov.in
