p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
3.0,0.0,0.0,0.0,0.0,0.0,0.2695,0.0,0.0,1.0,0.0,http://www.manuu.ac.in/asc.php
3.0,0.0,0.0,0.0,0.0,0.0,0.3818,0.0,0.0,1.0,0.0,http://guntur.nic.in
3.0,0.0,0.0,0.0,31.0,0.0,95.2578,91.5802,2.0,1.0,0.0,http://www.kvuri.com
3.0,0.0,0.0,0.0,31.0,0.0,171.6221,88.6862,2.0,2.0,0.0,http://kvno2akhnoor.org
3.0,0.0,1.0,0.0,0.0,0.0,0.4502,0.0,0.0,1.0,0.0,http://www.karnataka.gov.in/mysoresandal/Pages/home.aspx
3.0,0.0,1.0,0.0,0.0,0.0,1.0498,0.0,1.0,1.0,0.0,http://mic.mizoram.gov.in/page/Profile.html
3.0,1.0,0.0,0.0,0.0,0.0,0.3789,0.0,0.0,1.0,0.0,http://www.swabhiman.gov.in
3.0,1.0,0.0,0.0,0.0,0.0,0.5918,0.0,0.0,1.0,0.0,http://www.and.nic.in/circulars
3.0,1.0,0.0,0.0,0.0,0.0,0.5918,0.0,0.0,1.0,0.0,http://www.and.nic.in/legal/slsa1.htm
3.0,1.0,0.0,0.0,0.0,0.0,0.5918,0.0,0.0,1.0,0.0,http://www.and.nic.in/mggc
3.0,1.0,0.0,0.0,0.0,0.0,0.5918,0.0,0.0,1.0,0.0,http://www.and.nic.in/stats
3.0,1.0,0.0,0.0,0.0,0.0,0.8115,0.0,1.0,1.0,0.0,http://megscholarship.gov.in
3.0,1.0,0.0,0.0,0.0,0.0,44.0605,89.9331,1.0,1.0,0.0,http://ujjainpolice.gov.in
3.0,1.0,1.0,0.0,0.0,0.0,2241.8418,90.0153,11.0,19.0,0.0,http://aurangabadcitypolice.gov.in
4.0,0.0,0.0,0.0,0.0,0.0,0.2324,0.0,0.0,1.0,0.0,http://rtspunjab.gov.in
4.0,0.0,0.0,0.0,0.0,0.0,0.2324,0.0,0.0,1.0,0.0,http://www.nyks.org
4.0,0.0,0.0,0.0,0.0,0.0,0.2324,0.0,0.0,1.0,0.0,http://www.tidc.in
4.0,0.0,0.0,0.0,1.0,0.0,0.7129,0.0,0.0,1.0,1.0,http://careerskerala.gov.in
4.0,0.0,0.0,0.0,4.0,1.0,29.6299,96.658,2.0,1.0,0.0,http://goaassembly.gov.in
4.0,0.0,0.0,0.0,9.0,1.0,61.8916,97.0005,7.0,1.0,0.0,http://www.tnusrb.tn.gov.in
